,psi,psi,psi,psi,psi,kg,N,C,C,C,C,,s
P_INJECTOR,P_COMB_CHMBR,P_N2O_FLOW,P_N2_FLOW,P_RUN_TANK,L_RUN_TANK,L_THRUST,T_RUN_TANK,T_INJECTOR,T_COMB_CHMBR,T_POST_COMB,timestamp,seconds
11.2,-25.9,445.4,717.2,732.1,0.1,-12.4,21.0,9.4,21.6,-273.1,2025-02-08 11:30:37.933747,2650.565524
9.5,-25.7,446.8,717.6,732.1,0.2,-14.6,21.4,9.9,22.6,-273.1,2025-02-08 11:30:37.935417,2650.567194
8.2,-25.7,446.1,717.1,731.9,0.2,-14.8,20.3,10.0,22.2,-273.1,2025-02-08 11:30:37.937835,2650.569612
9.7,-26.9,446.1,717.0,732.2,0.2,-15.4,20.8,9.5,21.4,-273.1,2025-02-08 11:30:37.940708,2650.572485
8.8,-26.6,446.5,717.7,732.1,0.1,-16.8,21.1,9.3,23.0,-273.1,2025-02-08 11:30:37.942277,2650.574054
8.1,-25.9,445.2,717.8,732.0,0.2,-14.8,20.9,10.3,21.9,-273.1,2025-02-08 11:30:37.944916,2650.576693
8.2,-26.1,445.1,717.3,732.1,-0.0,-13.0,20.4,9.5,21.9,-273.1,2025-02-08 11:30:37.946620,2650.578397
12.2,-25.4,445.8,717.5,732.3,0.3,-13.3,20.8,9.1,21.4,-273.1,2025-02-08 11:30:37.948828,2650.580605
7.7,-26.9,445.8,717.7,732.0,0.1,-14.0,20.7,9.5,22.2,-273.1,2025-02-08 11:30:37.951172,2650.582949
10.5,-25.1,445.4,717.3,732.1,0.2,-13.3,21.2,9.8,21.0,-273.1,2025-02-08 11:30:37.953253,2650.58503
10.1,-25.7,446.3,717.4,732.0,0.2,-16.4,21.2,9.7,22.1,-273.1,2025-02-08 11:30:37.955604,2650.587381
8.9,-26.1,446.0,717.5,732.1,0.2,-14.9,21.1,9.6,22.1,-273.1,2025-02-08 11:30:37.957341,2650.589118
8.9,-26.5,444.4,717.2,731.8,0.1,-17.6,20.7,10.0,22.2,-273.1,2025-02-08 11:30:37.959866,2650.591643
8.2,-26.3,445.8,717.4,732.3,0.1,-19.3,21.1,9.9,22.0,-273.1,2025-02-08 11:30:37.961439,2650.593216
9.5,-25.9,445.6,717.5,731.7,0.1,-15.1,21.3,10.3,21.8,-273.1,2025-02-08 11:30:37.964687,2650.596464
8.2,-25.8,444.5,717.2,732.3,0.1,-14.2,20.7,9.9,22.0,-273.1,2025-02-08 11:30:37.966281,2650.598058
9.4,-26.8,444.0,717.3,731.9,0.2,-12.2,21.3,9.7,21.9,-273.1,2025-02-08 11:30:37.968847,2650.600624
9.4,-25.6,445.3,717.5,732.1,0.1,-13.6,21.3,10.5,21.9,-273.1,2025-02-08 11:30:37.970707,2650.602484
9.3,-26.3,445.9,717.4,731.7,0.1,-12.4,20.9,9.7,22.3,-273.1,2025-02-08 11:30:37.973199,2650.604976
8.7,-25.4,444.9,717.5,731.9,0.2,-9.6,21.1,9.8,21.5,-273.1,2025-02-08 11:30:37.974799,2650.606576
10.4,-26.7,445.5,716.3,731.0,0.1,-10.6,20.7,9.8,22.1,-273.1,2025-02-08 11:30:37.977507,2650.609284
8.2,-26.7,446.1,715.9,730.7,0.0,-13.7,20.0,9.7,22.3,-273.1,2025-02-08 11:30:37.979121,2650.610898
7.8,-25.6,444.2,716.2,730.6,0.1,-9.5,21.0,9.5,21.8,-273.1,2025-02-08 11:30:37.981708,2650.613485
9.8,-25.6,445.4,716.4,730.9,0.1,-14.0,21.2,9.8,22.2,-273.1,2025-02-08 11:30:37.983485,2650.615262
10.4,-25.7,445.4,716.0,730.5,0.1,-13.2,20.0,9.9,21.5,-273.1,2025-02-08 11:30:37.985453,2650.61723
8.2,-26.0,444.4,717.2,731.0,0.2,-11.1,20.7,9.9,22.2,-273.1,2025-02-08 11:30:37.988532,2650.620309
8.6,-25.9,444.9,716.3,730.9,0.1,-16.4,20.4,9.8,22.1,-273.1,2025-02-08 11:30:37.990418,2650.622195
8.4,-25.4,445.3,716.2,730.8,0.2,-16.2,20.7,9.8,22.3,-273.1,2025-02-08 11:30:37.992881,2650.624658
9.8,-26.6,444.5,717.0,730.7,0.1,-15.5,20.1,9.5,21.8,-273.1,2025-02-08 11:30:37.994591,2650.626368
8.7,-25.4,444.7,716.7,730.9,0.2,-16.0,21.6,9.5,21.2,-273.1,2025-02-08 11:30:37.997154,2650.628931
8.4,-26.2,444.9,715.5,730.6,0.2,-16.1,21.3,9.4,21.8,-273.1,2025-02-08 11:30:37.998881,2650.630658
8.2,-25.7,444.5,717.0,730.9,0.2,-15.7,21.2,10.2,21.1,-273.1,2025-02-08 11:30:38.001278,2650.633055
9.5,-26.2,444.9,716.4,730.6,0.1,-15.2,21.3,9.7,22.8,-273.1,2025-02-08 11:30:38.003682,2650.635459
10.4,-25.9,444.9,716.5,731.2,0.1,-13.6,20.4,9.5,21.1,-273.1,2025-02-08 11:30:38.005249,2650.637026
10.9,-25.3,445.3,716.1,730.8,0.1,-13.0,20.4,9.0,22.0,-273.1,2025-02-08 11:30:38.007938,2650.639715
10.7,-25.9,445.9,715.7,730.7,0.1,-19.2,20.4,9.6,22.0,-273.1,2025-02-08 11:30:38.009442,2650.641219
7.3,-27.5,444.9,716.2,731.0,0.1,-18.3,21.4,9.5,22.1,-273.1,2025-02-08 11:30:38.012555,2650.644332
11.0,-25.7,444.2,716.2,731.3,0.2,-14.2,20.5,9.2,22.0,-273.1,2025-02-08 11:30:38.014406,2650.646183
7.5,-25.6,445.1,716.7,730.8,0.2,-11.2,20.0,8.8,21.2,-273.1,2025-02-08 11:30:38.016866,2650.648643
9.5,-25.7,444.9,715.9,730.8,0.2,-19.8,20.9,10.2,22.0,-273.1,2025-02-08 11:30:38.018664,2650.650441
8.2,-26.0,444.2,716.2,730.3,0.0,-12.3,20.7,9.5,21.5,-273.1,2025-02-08 11:30:38.021196,2650.652973
8.8,-26.1,445.0,715.9,730.6,0.3,-14.8,21.2,9.9,22.2,-273.1,2025-02-08 11:30:38.022827,2650.654604
10.0,-26.2,444.2,716.7,730.4,0.2,-13.6,21.6,9.4,22.2,-273.1,2025-02-08 11:30:38.025544,2650.657321
6.1,-26.3,444.7,716.7,730.8,0.0,-14.0,20.4,10.2,21.8,-273.1,2025-02-08 11:30:38.027109,2650.658886
8.2,-27.0,445.5,716.2,730.6,0.1,-14.2,20.7,9.7,21.7,-273.1,2025-02-08 11:30:38.029715,2650.661492
10.8,-26.0,445.4,716.3,730.8,0.1,-14.8,21.2,9.7,22.1,-273.1,2025-02-08 11:30:38.031424,2650.663201
8.4,-25.6,445.4,716.2,730.8,0.2,-14.3,20.3,9.4,22.2,-273.1,2025-02-08 11:30:38.033510,2650.665287
8.2,-26.1,445.3,715.5,730.7,0.2,-12.1,21.1,9.7,21.6,-273.1,2025-02-08 11:30:38.036634,2650.668411
11.1,-26.8,444.2,716.3,730.6,0.1,-10.6,21.4,9.7,22.4,-273.1,2025-02-08 11:30:38.038305,2650.670082
8.5,-25.6,444.3,715.2,730.8,0.0,-11.8,20.8,9.1,21.5,-273.1,2025-02-08 11:30:38.040876,2650.672653
9.5,-25.2,444.4,716.4,730.8,0.1,-13.9,21.1,10.2,21.7,-273.1,2025-02-08 11:30:38.042636,2650.674413
10.2,-26.7,444.3,716.2,731.0,0.1,-12.9,21.6,10.3,22.2,-273.1,2025-02-08 11:30:38.045178,2650.676955
7.4,-25.7,445.0,715.8,730.7,0.2,-14.2,20.4,9.5,21.9,-273.1,2025-02-08 11:30:38.046868,2650.678645
7.4,-26.2,444.3,715.8,730.9,0.1,-12.9,21.1,9.1,21.6,-273.1,2025-02-08 11:30:38.049237,2650.681014
8.2,-25.8,444.2,716.8,730.5,0.0,-12.9,19.6,9.2,21.1,-273.1,2025-02-08 11:30:38.051593,2650.68337
9.9,-26.5,445.0,716.3,730.9,0.1,-13.3,20.7,9.9,21.3,-273.1,2025-02-08 11:30:38.053283,2650.68506
7.3,-25.6,445.4,715.9,730.8,0.2,-14.3,21.3,10.0,21.9,-273.1,2025-02-08 11:30:38.055776,2650.687553
8.4,-25.6,445.8,716.7,731.5,0.2,-15.8,20.4,9.8,21.8,-273.1,2025-02-08 11:30:38.057429,2650.689206
9.4,-26.1,444.7,717.8,731.5,0.3,-13.2,20.7,9.6,21.8,-273.1,2025-02-08 11:30:38.060646,2650.692423
9.2,-25.4,445.8,717.5,731.9,0.1,-14.6,20.8,10.1,21.8,-273.1,2025-02-08 11:30:38.062319,2650.694096
8.6,-25.0,446.5,718.0,731.8,0.2,-19.7,21.8,10.3,21.8,-273.1,2025-02-08 11:30:38.064895,2650.696672
8.9,-26.4,445.6,717.3,731.9,0.2,-10.5,21.7,9.2,22.4,-273.1,2025-02-08 11:30:38.066522,2650.698299
10.1,-25.9,444.4,717.3,732.3,-0.0,-16.1,21.0,9.3,20.9,-273.1,2025-02-08 11:30:38.069175,2650.700952
8.3,-26.1,445.0,716.7,731.9,0.1,-13.4,21.8,9.5,22.0,-273.1,2025-02-08 11:30:38.070822,2650.702599
9.5,-26.5,445.0,717.4,731.8,0.1,-15.5,21.2,10.2,22.2,-273.1,2025-02-08 11:30:38.073523,2650.7053
7.9,-25.4,445.0,717.2,731.9,0.2,-11.1,21.4,10.2,22.4,-273.1,2025-02-08 11:30:38.075123,2650.7069
7.9,-25.6,445.4,717.2,731.9,0.1,-15.5,21.5,9.4,22.2,-273.1,2025-02-08 11:30:38.077701,2650.709478
9.4,-25.6,445.1,718.0,732.0,0.2,-12.7,20.7,10.3,22.0,-273.1,2025-02-08 11:30:38.079432,2650.711209
9.4,-26.9,444.7,718.2,731.7,0.2,-14.0,21.5,9.7,21.4,-273.1,2025-02-08 11:30:38.081693,2650.71347
8.6,-25.4,444.3,718.2,732.2,0.2,-13.7,20.8,9.2,21.1,-273.1,2025-02-08 11:30:38.084634,2650.716411
8.8,-25.4,445.2,717.9,732.3,0.2,-18.6,20.3,8.9,22.4,-273.1,2025-02-08 11:30:38.086309,2650.718086
11.1,-25.6,445.1,716.9,732.0,0.0,-15.3,21.1,9.2,22.2,-273.1,2025-02-08 11:30:38.088850,2650.720627
11.3,-25.9,445.5,717.1,731.9,0.2,-15.4,21.8,9.9,21.7,-273.1,2025-02-08 11:30:38.090572,2650.722349
12.9,-26.5,445.6,717.0,731.7,0.1,-14.8,20.7,10.3,21.9,-273.1,2025-02-08 11:30:38.093306,2650.725083
10.3,-26.9,445.7,717.3,731.4,0.1,-17.3,21.8,10.0,21.4,-273.1,2025-02-08 11:30:38.094810,2650.726587
9.6,-25.9,444.4,717.3,731.7,0.3,-15.5,20.2,10.1,22.7,-273.1,2025-02-08 11:30:38.097255,2650.729032
10.3,-26.1,444.7,717.2,731.9,0.1,-12.7,21.4,10.6,22.3,-273.1,2025-02-08 11:30:38.099655,2650.731432
9.5,-26.4,444.7,718.0,732.3,0.2,-17.1,21.2,9.4,21.8,-273.1,2025-02-08 11:30:38.101269,2650.733046
9.7,-25.9,445.9,716.9,731.7,0.1,-13.9,19.9,10.0,22.5,-273.1,2025-02-08 11:30:38.103825,2650.735602
10.2,-24.5,445.7,717.7,731.7,0.1,-16.4,20.7,10.0,22.2,-273.1,2025-02-08 11:30:38.105403,2650.73718
8.2,-25.7,445.4,717.7,732.6,0.1,-16.2,21.6,9.5,21.4,-273.1,2025-02-08 11:30:38.108435,2650.740212
9.9,-26.6,445.2,717.8,732.3,0.1,-14.5,20.9,9.5,21.8,-273.1,2025-02-08 11:30:38.110826,2650.742603
7.8,-25.0,446.0,717.6,732.2,0.1,-15.6,21.4,9.8,21.8,-273.1,2025-02-08 11:30:38.112401,2650.744178
9.5,-25.6,445.5,717.8,732.2,0.2,-12.4,21.1,9.2,21.8,-273.1,2025-02-08 11:30:38.114535,2650.746312
9.3,-26.1,445.6,718.0,732.3,0.2,-10.2,21.1,9.5,21.6,-273.1,2025-02-08 11:30:38.117040,2650.748817
9.1,-25.4,445.7,717.1,731.9,0.2,-15.1,21.0,9.2,21.9,-273.1,2025-02-08 11:30:38.118893,2650.75067
10.3,-26.2,446.1,717.4,732.1,0.2,-13.4,20.6,9.1,22.2,-273.1,2025-02-08 11:30:38.121532,2650.753309
9.1,-25.9,445.4,716.8,731.9,0.1,-5.9,21.2,9.8,21.8,-273.1,2025-02-08 11:30:38.123120,2650.754897
10.7,-24.8,445.3,717.1,732.2,0.2,-17.7,20.7,9.4,22.2,-273.1,2025-02-08 11:30:38.125710,2650.757487
9.3,-27.3,444.8,718.0,732.3,0.2,-17.4,21.5,9.2,22.2,-273.1,2025-02-08 11:30:38.127453,2650.75923
10.6,-26.6,445.6,717.2,732.3,0.2,-16.2,20.8,10.4,22.3,-273.1,2025-02-08 11:30:38.129404,2650.761181
12.0,-26.8,445.1,717.7,732.1,0.1,-11.1,21.3,9.5,22.1,-273.1,2025-02-08 11:30:38.132322,2650.764099
10.0,-26.5,445.8,717.6,731.6,0.1,-14.0,21.8,10.3,22.7,-273.1,2025-02-08 11:30:38.134702,2650.766479
7.8,-26.1,446.2,717.1,732.0,0.1,-13.1,21.3,9.2,22.0,-273.1,2025-02-08 11:30:38.136476,2650.768253
7.8,-26.0,445.7,717.5,732.1,0.2,-6.2,22.2,10.3,21.9,-273.1,2025-02-08 11:30:38.138950,2650.770727
7.8,-26.5,444.6,716.8,730.9,0.1,-14.8,21.2,9.2,21.6,-273.1,2025-02-08 11:30:38.140654,2650.772431
8.4,-26.7,445.0,716.8,730.8,0.1,-8.9,20.9,9.9,21.9,-273.1,2025-02-08 11:30:38.143116,2650.774893
9.3,-24.7,445.7,716.2,731.0,0.1,-12.7,21.1,9.9,21.3,-273.1,2025-02-08 11:30:38.145526,2650.777303
8.9,-25.2,444.7,716.2,730.7,0.2,-12.4,20.0,9.5,22.0,-273.1,2025-02-08 11:30:38.147110,2650.778887
8.5,-25.9,444.4,716.3,730.8,0.1,-14.5,20.5,9.9,21.7,-273.1,2025-02-08 11:30:38.149468,2650.781245
10.1,-26.3,444.8,716.3,730.4,0.1,-17.7,20.8,9.9,21.8,-273.1,2025-02-08 11:30:38.151827,2650.783604
10.5,-25.3,446.1,716.8,731.1,0.2,-15.5,20.5,9.5,22.2,-273.1,2025-02-08 11:30:38.153404,2650.785181
8.8,-26.8,444.0,717.0,730.4,0.2,-13.0,20.8,9.9,22.2,-273.1,2025-02-08 11:30:38.156663,2650.78844
9.5,-26.3,444.5,716.0,730.4,0.1,-12.6,21.5,9.8,21.1,-273.1,2025-02-08 11:30:38.158254,2650.790031
8.6,-26.2,444.8,717.1,730.6,0.2,-18.5,20.1,9.3,22.8,-273.1,2025-02-08 11:30:38.160833,2650.79261
8.6,-25.7,444.2,716.7,730.9,0.0,-17.3,20.9,10.0,21.9,-273.1,2025-02-08 11:30:38.162568,2650.794345
10.0,-26.2,445.5,716.2,730.6,0.1,-16.1,20.7,10.7,21.9,-273.1,2025-02-08 11:30:38.165187,2650.796964
9.5,-26.4,444.6,716.5,730.6,0.2,-12.3,20.9,10.2,22.4,-273.1,2025-02-08 11:30:38.166814,2650.798591
8.6,-25.4,444.1,716.4,731.0,0.1,-10.9,21.3,9.8,22.2,-273.1,2025-02-08 11:30:38.169252,2650.801029
5.7,-26.6,444.7,716.1,730.9,0.2,-12.0,21.1,9.8,22.0,-273.1,2025-02-08 11:30:38.171608,2650.803385
7.4,-25.0,445.9,716.8,730.7,0.1,-10.2,20.3,9.1,21.8,-273.1,2025-02-08 11:30:38.173282,2650.805059
9.7,-25.7,444.0,717.0,730.4,0.2,-11.7,21.2,10.4,22.4,-273.1,2025-02-08 11:30:38.175862,2650.807639
11.5,-25.0,444.9,716.3,730.8,0.2,-12.7,21.8,9.9,21.8,-273.1,2025-02-08 11:30:38.177410,2650.809187
8.4,-25.7,445.4,716.3,730.8,0.2,-14.5,20.6,9.5,21.7,-273.1,2025-02-08 11:30:38.180275,2650.812052
8.7,-26.5,444.9,716.3,730.3,0.2,-15.5,21.4,9.5,21.8,-273.1,2025-02-08 11:30:38.182694,2650.814471
8.2,-25.7,444.7,715.6,730.4,0.2,-13.5,21.6,9.4,21.8,-273.1,2025-02-08 11:30:38.184519,2650.816296
8.8,-25.9,443.0,716.6,731.0,0.2,-12.7,21.2,10.1,21.8,-273.1,2025-02-08 11:30:38.186995,2650.818772
8.9,-26.2,444.4,715.9,730.8,0.1,-14.2,21.3,9.0,21.8,-273.1,2025-02-08 11:30:38.188658,2650.820435
8.6,-26.1,445.0,716.6,730.1,0.0,-16.8,21.0,10.7,21.8,-273.1,2025-02-08 11:30:38.190952,2650.822729
9.0,-26.8,444.1,716.9,730.9,0.0,-17.0,20.1,9.4,21.7,-273.1,2025-02-08 11:30:38.193445,2650.825222
10.7,-25.6,446.2,716.6,730.6,0.1,-15.5,20.3,10.3,22.2,-273.1,2025-02-08 11:30:38.195167,2650.826944
10.9,-25.0,444.7,716.5,730.7,0.1,-13.6,20.6,9.6,21.4,-273.1,2025-02-08 11:30:38.197704,2650.829481
7.5,-26.5,444.4,716.5,730.9,0.2,-14.2,20.9,10.2,21.8,-273.1,2025-02-08 11:30:38.199482,2650.831259
10.5,-25.9,445.4,716.3,730.3,0.2,-8.6,20.8,9.5,22.3,-273.1,2025-02-08 11:30:38.202000,2650.833777
8.6,-25.6,445.1,716.5,731.0,0.2,-12.7,21.1,9.4,21.8,-273.1,2025-02-08 11:30:38.204573,2650.83635
9.1,-26.2,445.4,716.2,731.0,0.1,-15.7,21.4,9.6,22.1,-273.1,2025-02-08 11:30:38.206238,2650.838015
8.9,-26.2,445.6,717.4,730.6,0.0,-11.8,21.5,10.3,21.8,-273.1,2025-02-08 11:30:38.208868,2650.840645
10.7,-25.8,445.6,716.0,730.8,0.1,-13.4,20.5,9.4,22.4,-273.1,2025-02-08 11:30:38.210702,2650.842479
7.4,-26.1,443.9,716.3,730.7,0.1,-12.7,20.7,9.6,22.2,-273.1,2025-02-08 11:30:38.213213,2650.84499
10.2,-25.4,444.5,716.2,730.6,0.1,-13.3,20.4,10.2,22.1,-273.1,2025-02-08 11:30:38.214788,2650.846565
11.1,-25.9,445.3,716.6,730.6,0.2,-12.4,20.7,9.4,22.5,-273.1,2025-02-08 11:30:38.217514,2650.849291
9.7,-26.2,445.0,716.2,730.7,0.2,-15.4,21.5,9.9,21.4,-273.1,2025-02-08 11:30:38.219125,2650.850902
9.3,-26.9,446.5,717.0,731.3,0.2,-12.3,21.0,9.5,21.7,-273.1,2025-02-08 11:30:38.221703,2650.85348
9.7,-26.7,444.8,716.9,731.7,0.1,-13.4,21.1,9.9,22.6,-273.1,2025-02-08 11:30:38.223459,2650.855236
8.9,-25.9,445.6,717.4,731.9,0.1,-12.7,20.2,10.1,21.7,-273.1,2025-02-08 11:30:38.225676,2650.857453
7.7,-25.0,444.7,717.8,731.6,0.3,-9.9,21.7,9.6,21.9,-273.1,2025-02-08 11:30:38.228245,2650.860022
10.0,-26.2,445.1,716.7,732.1,0.1,-15.5,21.4,10.4,21.7,-273.1,2025-02-08 11:30:38.230693,2650.86247
9.3,-25.9,445.8,717.7,732.2,0.2,-12.6,20.9,10.1,21.8,-273.1,2025-02-08 11:30:38.232429,2650.864206
9.9,-26.8,445.4,717.2,732.1,0.1,-12.1,20.7,10.2,22.2,-273.1,2025-02-08 11:30:38.235012,2650.866789
9.4,-26.3,445.2,717.3,732.1,0.1,-16.7,21.7,9.6,21.9,-273.1,2025-02-08 11:30:38.236640,2650.868417
9.7,-26.4,445.8,717.4,731.9,0.2,-11.5,20.8,9.9,21.8,-273.1,2025-02-08 11:30:38.239123,2650.8709
7.5,-26.2,445.5,717.5,732.0,0.2,-16.2,20.9,9.3,22.3,-273.1,2025-02-08 11:30:38.241005,2650.872782
9.5,-24.9,445.8,717.3,732.5,0.1,-21.7,20.5,10.0,21.8,-273.1,2025-02-08 11:30:38.243545,2650.875322
8.5,-26.8,445.0,717.3,732.1,0.2,-14.5,21.1,9.9,22.3,-273.1,2025-02-08 11:30:38.245354,2650.877131
9.2,-26.3,445.3,717.2,731.7,0.2,-16.2,20.7,9.9,22.4,-273.1,2025-02-08 11:30:38.247887,2650.879664
9.3,-26.3,446.4,717.2,732.3,0.3,-12.1,21.2,9.3,21.5,-273.1,2025-02-08 11:30:38.249391,2650.881168
8.9,-25.9,443.9,716.5,731.9,0.1,-13.0,21.2,9.5,22.3,-273.1,2025-02-08 11:30:38.252351,2650.884128
9.7,-26.2,446.3,716.5,731.6,0.2,-10.9,21.5,9.8,21.6,-273.1,2025-02-08 11:30:38.254288,2650.886065
9.8,-25.4,444.1,711.8,731.7,0.1,-12.4,21.4,10.5,21.8,-273.1,2025-02-08 11:30:38.256824,2650.888601
11.0,-25.4,445.6,711.4,731.9,0.3,-13.6,20.2,9.9,22.2,-273.1,2025-02-08 11:30:38.258520,2650.890297
9.6,-26.1,445.0,711.6,732.1,0.2,-15.5,21.6,10.0,22.0,-273.1,2025-02-08 11:30:38.261050,2650.892827
10.9,-25.9,445.6,709.2,731.6,0.1,-16.1,21.0,9.5,22.1,-273.1,2025-02-08 11:30:38.262815,2650.894592
10.5,-26.3,445.3,709.4,731.3,0.2,-17.7,21.5,9.9,22.7,-273.1,2025-02-08 11:30:38.265598,2650.897375
8.9,-25.7,444.8,704.9,731.1,0.2,-15.1,22.0,10.7,22.1,-273.1,2025-02-08 11:30:38.267061,2650.898838
8.8,-25.7,445.3,705.7,730.5,0.2,-11.5,21.1,9.8,22.2,-273.1,2025-02-08 11:30:38.269353,2650.90113
8.8,-25.9,445.2,705.3,730.3,0.4,-16.8,20.8,9.9,21.9,-273.1,2025-02-08 11:30:38.271871,2650.903648
8.2,-26.8,446.6,702.7,730.2,0.5,-15.2,21.0,9.6,22.0,-273.1,2025-02-08 11:30:38.273391,2650.905168
9.0,-27.2,446.1,704.2,729.6,0.4,-17.7,20.9,9.7,22.0,-273.1,2025-02-08 11:30:38.276568,2650.908345
7.3,-25.4,444.6,704.4,729.8,0.3,-16.0,20.7,10.1,21.3,-273.1,2025-02-08 11:30:38.278309,2650.910086
8.1,-25.8,446.6,703.2,729.3,0.2,-11.5,21.0,9.9,22.0,-273.1,2025-02-08 11:30:38.280837,2650.912614
8.7,-26.6,445.6,703.8,729.3,0.1,-18.3,21.5,10.3,22.4,-273.1,2025-02-08 11:30:38.282539,2650.914316
10.0,-25.7,445.8,703.8,728.6,0.3,-13.0,22.1,9.3,22.1,-273.1,2025-02-08 11:30:38.285131,2650.916908
7.8,-25.5,445.4,703.2,728.0,0.1,-13.0,21.0,10.4,21.7,-273.1,2025-02-08 11:30:38.286795,2650.918572
8.7,-25.8,446.0,704.0,728.3,-0.0,-18.8,20.9,9.9,22.2,-273.1,2025-02-08 11:30:38.289257,2650.921034
